Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Grand Total
Afghanistan,15.5,15.78,15.54,14.92,15.77,14.98,15.6,15.11,15.22,15.26,15.83,15.41
Africa,24.59,24.84,24.96,25.03,24.9,25.16,24.82,24.85,24.75,25.03,25.47,24.94
Åland,7.28,6.4,6.8,6.32,6.52,6.72,7.1,7.03,7.49,6.49,4.86,6.64
Albania,13.75,13.69,13.56,13.63,13.26,12.75,12.98,13.89,13.96,13.84,13.78,13.55
Algeria,24.03,24.72,24.26,24.39,23.92,24.22,24.2,24.07,23.95,24.15,25.22,24.29
American Samoa,27.22,27.23,27.54,27.26,27.28,27.37,27.08,27.45,27,27.03,27.45,27.27
Andorra,12.31,12.22,12.32,12.9,12.04,11.64,12.83,12.16,11.98,12.57,11.48,12.22
Angola,22.36,22.5,22.93,23.07,22.57,22.97,21.95,22.43,22.29,22.32,22.68,22.55
Anguilla,27.05,27.41,27.54,27.68,27.33,27.73,27.64,27.69,27.14,27.47,27.86,27.5
Antarctica,,,,,,,,,,,,
Antigua And Barbuda,26.89,27.25,27.36,27.51,27.15,27.6,27.47,27.51,26.97,27.28,27.74,27.34
Argentina,14.75,15.37,15.18,15.52,15.44,15.11,15.56,14.63,15.48,15.53,15.08,15.24
Armenia,9.92,10.44,9.6,9.42,9.72,9.74,10.05,9.54,9.71,9.84,11.51,9.95
Aruba,28.13,28.63,28.85,28.85,28.51,28.77,28.8,28.82,28.45,28.83,28.97,28.69
Asia,8.25,8.45,8.65,8.53,8.49,8.67,8.41,9.1,8.77,8.44,8.58,8.58
Australia,21.71,21.79,22.46,22.44,22.29,22.9,22.26,22.49,22.23,22.69,22.08,22.3
Austria,8.08,7.19,7.92,7.51,6.91,6.61,7.28,7.98,7.8,7.62,6.65,7.41
Azerbaijan,12.63,13.1,12.43,11.98,12.62,12.69,12.71,12.51,12.37,12.61,13.96,12.69
Bahamas,25.45,25.58,26.12,26.18,25.85,25.8,25.72,26.03,25.9,25.77,25.23,25.78
Bahrain,27.07,27.43,27.27,27.37,27.15,26.98,27.22,27.22,27.03,27.31,28.07,27.28
Baker Island,25.91,26.04,26.25,26.13,26.08,26.11,26.16,26.08,25.77,26.21,26.21,26.08
Bangladesh,25.15,25.34,25.38,25.28,25.39,25.53,25.77,25.34,25.39,25.9,25.94,25.49
Barbados,26.9,27.22,27.27,27.44,27.23,27.68,27.5,27.37,27,27.32,27.84,27.34
Belarus,7.91,7.09,7.7,6.72,6.91,6.97,6.99,7.93,8.13,7.2,7.04,7.33
Belgium,11.03,10.54,11.04,10.87,10.45,10.73,11.1,11.15,10.5,10.63,9.36,10.67
Belize,25.29,25.52,25.79,25.87,25.74,25.92,25.71,25.86,25.52,25.91,25.5,25.69
Benin,27.64,27.68,27.82,27.96,27.87,28.15,28.14,28.07,27.69,28.16,28.33,27.96
Bhutan,12,12.43,12.18,12.23,12.21,12.45,12.85,12.7,12.46,13.11,12.95,12.51
Bolivia,21.08,21.23,21.61,21.26,21.57,21.37,21.47,21.13,21.19,21.38,21.45,21.34
Bonaire,27.41,27.88,28.07,28.11,27.69,28.09,28.08,28.14,27.78,28.14,28.37,27.98
Bosnia And Herzegovina,12.15,11.38,11.86,11.5,11,10.3,11.07,12,12.06,11.86,11.27,11.49
Botswana,21.87,22.35,22.99,23.4,22.35,23.37,21.8,22.4,22.31,22.14,22.73,22.52
Brazil,25.2,25.5,25.8,25.62,25.5,25.81,25.52,25.67,25.41,25.6,25.81,25.58
British Virgin Islands,26.73,27.13,27.3,27.38,27.03,27.42,27.37,27.47,26.92,27.24,27.59,27.24
Bulgaria,11.91,11.62,11.68,10.95,11.24,10.78,11.12,12.31,11.99,11.89,11.77,11.57
Burkina Faso,28.59,28.73,28.98,28.88,28.99,29.24,28.92,28.98,28.49,29.08,29.29,28.93
Burma,23.93,24.33,24.29,24.29,24.11,24.58,24.43,24.16,24.18,24.7,24.86,24.35
Burundi,20.6,20.51,20.75,20.93,20.96,21.44,21.07,20.58,20.57,20.76,21.07,20.84
Cambodia,27.06,27.25,27.56,27.3,27.18,27.39,27.41,27.24,26.9,27.25,27.88,27.31
Cameroon,24.61,24.65,24.95,25.01,25.17,25.27,25.29,25.21,25.12,25.41,25.46,25.11
Canada,-4.03,-3.1,-4.36,-3.86,-4.92,-3.31,-2.46,-4.06,-4.3,-4.14,-1.89,-3.67
Cape Verde,24.72,25.29,25.1,24.83,24.89,25.13,25.07,24.79,24.97,24.6,25.83,25.02
Cayman Islands,27.1,27.31,27.72,27.65,27.59,27.55,27.49,27.62,27.38,27.49,27.03,27.45
Central African Republic,25.61,25.71,25.82,26.01,26.14,26.33,26.21,26.07,25.97,26.51,26.33,26.06
Chad,27.45,27.64,27.77,27.88,28.02,28.21,28.05,27.86,27.7,28.32,28.7,27.96
Chile,9.56,9.82,9.74,10.08,10.21,9.89,10.17,9.49,10.16,9.99,9.71,9.89
China,7.24,7.6,7.8,7.52,7.71,7.41,7.95,8.13,7.57,7.81,7.55,7.66
Christmas Island,26.38,26.35,26.73,26.69,26.59,26.68,26.53,26.56,26.28,26.54,26.84,26.56
Colombia,25.03,25.41,25.57,25.66,25.55,25.67,25.48,25.49,25.15,25.62,25.69,25.48
Comoros,26,26.41,26.66,26.6,26.39,26.68,26.47,26.6,26.19,26.59,26.79,26.49
Congo,24.79,24.73,25.05,25.06,25.13,25.27,25.28,25.23,25.29,25.35,25.56,25.16
Congo (Democratic Republic Of The),24.21,24.26,24.56,24.57,24.55,24.98,24.53,24.39,24.34,24.54,24.76,24.52
Costa Rica,26.07,26.11,26.31,26.58,26.53,26.4,26.51,26.38,26.06,26.52,26.23,26.34
Côte D'Ivoire,26.4,26.67,26.77,26.94,26.83,26.91,26.79,26.94,26.76,26.93,27.15,26.83
Croatia,13.23,12.41,12.9,12.57,11.92,11.38,12.24,13.07,12.98,12.88,11.96,12.5
Cuba,25.79,25.86,26.31,26.36,26.27,26.14,26.15,26.28,26.05,26.02,25.63,26.08
Curaçao,27.56,28.01,28.24,28.27,27.89,28.21,28.27,28.28,27.92,28.25,28.47,28.13
Cyprus,19.44,20.01,19.73,19.74,19.6,19.59,19.54,19.95,20.14,20.16,20.95,19.89
Czech Republic,9.66,8.38,9.2,8.87,8.45,8.33,8.87,9.6,9.41,8.97,7.75,8.86
Denmark,-16.82,-17.07,-16.29,-15.75,-16.77,-15.64,-16.57,-16.53,-16.84,-16.78,-15.09,-16.38
Denmark (Europe),9.58,8.62,9.44,9,9.02,9.05,9.68,9.76,9.73,9.13,7.3,9.12
Djibouti,29.86,29.48,29.53,29.76,29.54,29.81,29.78,29.79,29.34,29.9,29.84,29.69
Dominica,26.57,26.9,26.94,27.08,26.83,27.32,27.15,27.09,26.66,26.95,27.49,27
Dominican Republic,25.88,26.34,26.58,26.63,26.36,26.52,26.59,26.63,26.2,26.42,26.46,26.42
Ecuador,22.03,22.24,22.76,22.67,22.65,22.53,22.6,22.36,22.22,22.68,22.64,22.49
Egypt,22.88,23.62,23.72,23.5,23.51,23.52,23.51,23.58,23.91,23.74,25.15,23.69
El Salvador,25.41,25.49,25.71,25.72,25.74,25.62,25.76,25.48,25.25,25.79,25.46,25.58
Equatorial Guinea,25.22,25.21,25.53,25.63,25.59,25.62,25.79,25.77,25.77,25.83,25.9,25.62
Eritrea,27.52,27.41,27.64,27.73,27.58,27.69,27.49,27.49,27.59,28.09,28.05,27.66
Estonia,7.01,5.97,6.21,5.66,5.94,6,6.53,6.83,7.27,6.06,5.04,6.23
Ethiopia,23.76,23.66,23.82,23.86,23.78,23.9,23.78,23.72,23.6,24.27,23.93,23.83
Europe,9.44,8.79,9.22,8.98,8.83,8.8,9.16,9.47,9.3,9.15,8.28,9.04
Falkland Islands (Islas Malvinas),6.4,6.65,6.04,6.53,7.39,6.6,7.06,6.34,6.92,6.56,6.87,6.67
